run,split,field,label,support,predicted_positive,true_positive,false_positive,false_negative,true_negative,precision,recall,f1
phase3_v2_visual_retention,val,landscape_features,Built-In Planters,490,1850,286,1564,204,1851,0.154595,0.583673,0.244444
phase3_v2_visual_retention,val,landscape_features,Walkway - Stone,291,1031,179,852,112,2762,0.173618,0.61512,0.270802
phase3_v2_visual_retention,val,landscape_features,Parking Lot,216,436,175,261,41,3428,0.401376,0.810185,0.53681
phase3_v2_visual_retention,val,landscape_features,Stone Public Sidewalk,135,532,72,460,63,3310,0.135338,0.533333,0.215892
phase3_v2_visual_retention,val,landscape_features,Fence - Ornamental,121,300,34,266,87,3518,0.113333,0.280992,0.16152
phase3_v2_visual_retention,val,landscape_features,Driveway - Ribbon,112,90,5,85,107,3708,0.055556,0.044643,0.049505
phase3_v2_visual_retention,val,landscape_features,Driveway - Unpaved,74,209,19,190,55,3641,0.090909,0.256757,0.134276
phase3_v2_visual_retention,val,landscape_features,Walkway - Brick,87,28,0,28,87,3790,0.0,0.0,0.0
phase3_v2_visual_retention,val,landscape_features,Fence - Historic,60,2,1,1,59,3844,0.5,0.016667,0.032258
phase3_v2_visual_retention,val,window,Window Type: Double/Single Hung,2839,2637,2353,284,486,782,0.892302,0.828813,0.859386
phase3_v2_visual_retention,val,window,Window Type: Fixed,2817,2042,1699,343,1118,745,0.832027,0.603124,0.699321
phase3_v2_visual_retention,val,window,Window Type: Sliding,2197,1859,1331,528,866,1180,0.715976,0.605826,0.656312
phase3_v2_visual_retention,val,window,Window Type: Casement,736,1680,452,1228,284,1941,0.269048,0.61413,0.374172
phase3_v2_visual_retention,val,window,Window Type: Unknown Window Type,660,1807,487,1320,173,1925,0.269507,0.737879,0.394812
phase3_v2_visual_retention,val,window,Window Type: Hopper/Awning,369,1409,255,1154,114,2382,0.180979,0.691057,0.286839
phase3_v2_visual_retention,val,window,Window Features: Rowlock Sill,1880,1701,1475,226,405,1799,0.867137,0.784574,0.823792
phase3_v2_visual_retention,val,window,Window Features: None,1850,1804,1177,627,673,1428,0.652439,0.636216,0.644226
phase3_v2_visual_retention,val,window,Window Features: Paired Windows,1525,1847,1021,826,504,1554,0.552788,0.669508,0.605575
phase3_v2_visual_retention,val,window,Window Features: Tripartite Window,1201,1692,820,872,381,1832,0.484634,0.682764,0.566886
phase3_v2_visual_retention,val,window,Window Features: Stone Sill,1198,1335,1020,315,178,2392,0.764045,0.851419,0.805369
phase3_v2_visual_retention,val,window,Window Features: Divided Lights - All,1123,1694,768,926,355,1856,0.453365,0.683882,0.545261
phase3_v2_visual_retention,val,window,Window Features: Dormer Window,873,1119,739,380,134,2652,0.660411,0.846506,0.741968
phase3_v2_visual_retention,val,window,Window Features: Arch - Segmented,724,1097,635,462,89,2719,0.578851,0.877072,0.697419
phase3_v2_visual_retention,val,window,Window Features: Decorative Surround,816,1553,599,954,217,2135,0.385705,0.734069,0.505699
phase3_v2_visual_retention,val,window,Window Features: Grouped Windows,709,1483,483,1000,226,2196,0.325691,0.681241,0.440693
phase3_v2_visual_retention,val,window,Window Features: Picture Window,558,1244,335,909,223,2438,0.269293,0.600358,0.371809
phase3_v2_visual_retention,val,window,Window Features: Divided Lights - Some,466,1459,327,1132,139,2307,0.224126,0.701717,0.33974
phase3_v2_visual_retention,val,window,Window Features: Transom,281,939,131,808,150,2816,0.13951,0.466192,0.214754
phase3_v2_visual_retention,val,window,Window Features: Stained/Leaded Glass,294,755,214,541,80,3070,0.283444,0.727891,0.408008
phase3_v2_visual_retention,val,window,Window Features: Arch - Rounded,203,532,146,386,57,3316,0.274436,0.719212,0.397279
phase3_v2_visual_retention,val,window,Window Features: Cottage Window,172,626,138,488,34,3245,0.220447,0.802326,0.345865
phase3_v2_visual_retention,val,window,Window Features: Oriel Window,107,217,17,200,90,3598,0.078341,0.158879,0.104938
phase3_v2_visual_retention,val,window,Window Features: Stone Lintel,101,442,45,397,56,3407,0.10181,0.445545,0.165746
phase3_v2_visual_retention,val,window,Window Features: Ribbon Windows,67,81,6,75,61,3763,0.074074,0.089552,0.081081
phase3_v2_visual_retention,val,entrance,Entrance Location: Front Facade,3505,2471,2316,155,1189,245,0.937272,0.66077,0.7751
phase3_v2_visual_retention,val,entrance,Entrance Location: Right Side,588,1589,359,1230,229,2087,0.225928,0.610544,0.329812
phase3_v2_visual_retention,val,entrance,Entrance Location: Left Side,542,1474,332,1142,210,2221,0.225237,0.612546,0.329365
phase3_v2_visual_retention,val,entrance,Entrance Location: Rear,372,1254,224,1030,148,2503,0.178628,0.602151,0.275523
phase3_v2_visual_retention,val,entrance,Entrance Type: Porch - Partial Width - Projecting,1274,1509,735,774,539,1857,0.487078,0.576923,0.528207
phase3_v2_visual_retention,val,entrance,Entrance Type: Porch - Full Width - Projecting,1120,1573,917,656,203,2129,0.582962,0.81875,0.681025
phase3_v2_visual_retention,val,entrance,Entrance Type: Stoop - Low,664,1820,494,1326,170,1915,0.271429,0.743976,0.397746
phase3_v2_visual_retention,val,entrance,Entrance Type: Flush Door - No Porch or Stoop,646,1402,364,1038,282,2221,0.259629,0.563467,0.355469
phase3_v2_visual_retention,val,entrance,Entrance Type: Porch - Partial Width - Recessed,425,1183,331,852,94,2628,0.279797,0.778824,0.411692
